customer_id,customer_name,customer_level,region
101,远景集团,战略客户,华东
102,云帆零售,普通客户,华南
103,星河科技,重点客户,华北
104,海岳集团,重点客户,西南
105,北辰制造,普通客户,华东
106,南岭科技,普通客户,华南
107,新程集团,普通客户,华北
108,华耀科技,普通客户,西南
109,澄明科技,普通客户,华东
110,启元网络,战略客户,华南
111,锐达集团,战略客户,华北
112,安澜科技,战略客户,西南
113,青禾网络,战略客户,华东
114,鼎盛制造,普通客户,华南
115,卓远网络,重点客户,华北
116,同创数据,战略客户,西南
117,恒信零售,重点客户,华东
118,博源制造,重点客户,华南
119,嘉禾集团,普通客户,华北
120,光启零售,战略客户,西南
121,飞鸿集团,普通客户,华东
122,中科网络,普通客户,华南
123,朗新集团,普通客户,华北
124,合众科技,普通客户,西南
125,德润网络,重点客户,华东
126,天成数据,重点客户,华南
127,金石零售,战略客户,华北
128,智联零售,战略客户,西南
129,融通零售,普通客户,华东
130,万象制造,普通客户,华南
